NIM,Angkatan,Kode MK,SKS,Nama Mata Kuliah,Periode Semester,Nilai Huruf
1207050139,20201,IF215001,2.0,Manajemen Basis Data,20221,A
1207050139,20201,IF215003,2.0,Jaringan Komputer,20221,A
1207050139,20201,IF215008,1.0,Praktikum Pengembangan Aplikasi Web,20221,B
1207050139,20201,IF217003,2.0,Kewirausahaan,20221,E
1207050139,20201,IF215006,1.0,Praktikum Pengembangan Aplikasi Mobile,20221,A
1207050139,20201,IF215004,1.0,Praktikum Jaringan Komputer,20221,A
1207050139,20201,IF215007,2.0,Pengembangan Aplikasi Web,20221,B
1207050139,20201,IF215002,1.0,Praktikum Manajemen Basis Data,20221,B
1207050139,20201,IF216009,2.0,Metodologi Penelitian,20222,B
1207050139,20201,IF216003,3.0,Sistem Terdistribusi,20222,B
1207050139,20201,IF216002,3.0,Proyek Perangkat Lunak,20222,B
1207050139,20201,IF216005,2.0,Sistem Multimedia,20222,A
1207050139,20201,IF216004,3.0,Grafika Komputer,20222,A
1207050139,20201,IF216006,1.0,Praktikum Sistem Multimedia,20222,A
1207050139,20201,IF216008,1.0,Praktikum Pembelajaran Mesin,20222,B
1207050139,20201,IF216007,2.0,Pembelajaran Mesin,20222,B
1207050139,20201,IF216001,3.0,Sistem Informasi,20222,B
